# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------

Day Index,Ventas

1,"Fisica NewToniana"
2,"Fisica NewToniana"
3,"Fisica NewToniana"
4,"Fisica NewToniana"
5,"Fisica NewToniana"
6,"Fisica NewToniana"
7,"Fisica NewToniana"
8,"Fisica NewToniana"
9,"Fisica NewToniana"
10,"Fisica NewToniana"
11,"Fisica NewToniana"
12,"Lógica Matemática"
13,"Lógica Matemática"
14,"Lógica Matemática"
15,"Lógica Matemática"
16,"Lógica Matemática"
17,"Lógica Matemática"
18,"Lógica Matemática"
19,"Lógica Matemática"
20,"Lógica Matemática"
21,"Lógica Matemática"
22,"Lógica Matemática"
23,"Lógica Matemática"
24,"Lógica Matemática"
25,"Lógica Matemática"
26,"Inteligencia Artificial"
27,"Inteligencia Artificial"
28,"Inteligencia Artificial"
29,"Inteligencia Artificial"
30,"Inteligencia Artificial"
31,"Inteligencia Artificial"
32,"Aplicaciones para Internet"
33,"Aplicaciones para Internet"
34,"Aplicaciones para Internet"
35,"Aplicaciones para Internet"
36,"Aplicaciones para Internet"
37,"Aplicaciones para Internet"
38,"Arquitectura de Computadores"
39,"Arquitectura de Computadores"
40,"Arquitectura de Computadores"
41,"Bases de Datos"
42,"Bases de Datos"
43,"Bases de Datos"
44,"Bases de Datos"
45,"Bases de Datos"
46,"Programación Multinivel"
47,"Programación Multinivel"
48,"Programación Multinivel"
49,"Programación Multinivel"
50,"Programación Multinivel"
51,"Programación Multinivel"
52,"Programación Multinivel"
53,"Programación Multinivel"
54,"Administración General"
55,"Administración General"
56,"Administración General"
57,"Administración General"
58,"Administración General"
59,"Administración General"
60,"Administración General"
61,"Administración General"
62,"Administración General"
63,"Administración General"
64,"Administración General"
65,"Fundamentos de Contabilidad General"
66,"Fundamentos de Contabilidad General"
67,"Fundamentos de Contabilidad General"
68,"Fundamentos de Contabilidad General"
69,"Fundamentos de Contabilidad General"
70,"Fundamentos de Contabilidad General"
71,"Fundamentos de Contabilidad General"
72,"Fundamentos de Contabilidad General"
73,"Fundamentos de Contabilidad General"
74,"Fundamentos de Contabilidad General"
75,"Fundamentos de Contabilidad General"
76,"Fundamentos de Economía"
77,"Fundamentos de Economía"
78,"Fundamentos de Economía"
79,"Fundamentos de Economía"
80,"Fundamentos de Economía"
81,"Fundamentos de Economía"
82,"Fundamentos de Economía"
83,"Fundamentos de Economía"
84,"Fundamentos de Economía"
85,"Estructura de Datos"
86,"Estructura de Datos"
87,"Estructura de Datos"
88,"Estructura de Datos"
89,"Estructura de Datos"
90,"Estructura de Datos"
91,"Estructura de Datos"
92,"Estructura de Datos"
93,"Sistemas Distribuidos"
94,"Sistemas Distribuidos"
95,"Sistemas Distribuidos"
96,"Sistemas Distribuidos"
97,"Sistemas Distribuidos"
98,"Gerencia y Auditoría de Redes"
99,"Gerencia y Auditoría de Redes"
100,"Gerencia y Auditoría de Redes"
101,"Gerencia y Auditoría de Redes"
102,"Gerencia y Auditoría de Redes"
103,"Gerencia y Auditoría de Redes"
104,"Gerencia y Auditoría de Redes"
105,"Cálculo Diferencial"
106,"Cálculo Diferencial"
107,"Cálculo Diferencial"
108,"Cálculo Diferencial"
109,"Cálculo Diferencial"
110,"Cálculo Diferencial"
111,"Cálculo Diferencial"
112,"Cálculo Diferencial"
113,"Cálculo Diferencial"
114,"Cálculo Diferencial"
115,"Cálculo Diferencial"
116,"Cálculo Diferencial"
117,"Cálculo Diferencial"
118,"Cálculo Diferencial"
119,"Cálculo Diferencial"
120,"PROGRAMACIÓN AVANZADA"
121,"PROGRAMACIÓN AVANZADA"
122,"PROGRAMACIÓN AVANZADA"
123,"PROGRAMACIÓN AVANZADA"
124,"PROGRAMACIÓN AVANZADA"
125,"PROGRAMACIÓN AVANZADA"
126,"PROGRAMACIÓN ORIENTADA A OBJETOS"
127,"PROGRAMACIÓN ORIENTADA A OBJETOS"
128,"PROGRAMACIÓN ORIENTADA A OBJETOS"
129,"PROGRAMACIÓN ORIENTADA A OBJETOS"
130,"PROGRAMACIÓN ORIENTADA A OBJETOS"
131,"ANÁLISIS Y MÉTODOS NUMÉRICOS"
132,"ANÁLISIS Y MÉTODOS NUMÉRICOS"
133,"ANÁLISIS Y MÉTODOS NUMÉRICOS"
134,"CÁLCULO INTEGRAL"
135,"CÁLCULO INTEGRAL"
136,"CÁLCULO INTEGRAL"
137,"CÁLCULO INTEGRAL"
138,"CÁLCULO INTEGRAL"
139,"CÁLCULO INTEGRAL"
140,"CÁLCULO INTEGRAL"
141,"CÁLCULO INTEGRAL"
142,"CÁLCULO INTEGRAL"
143,"CÁLCULO INTEGRAL"
144,"CÁLCULO INTEGRAL"
145,"CÁLCULO INTEGRAL"
146,"ÁLGEBRA LINEAL"
147,"ÁLGEBRA LINEAL"
148,"ÁLGEBRA LINEAL"
149,"ÁLGEBRA LINEAL"
150,"ÁLGEBRA LINEAL"
151,"ÁLGEBRA LINEAL"
152,"ÁLGEBRA LINEAL"
153,"ÁLGEBRA LINEAL"
154,"ÁLGEBRA LINEAL"
155,"ÁLGEBRA LINEAL"
156,"ÁLGEBRA LINEAL"
157,"ÁLGEBRA LINEAL"
158,"ÁLGEBRA LINEAL"
159,"ÁLGEBRA LINEAL"
160,"ÁLGEBRA LINEAL"
161,"FUNDAMENTOS DE ORGANIZACIÓN"
162,"FUNDAMENTOS DE ORGANIZACIÓN"
163,"FUNDAMENTOS DE ORGANIZACIÓN"
164,"FUNDAMENTOS DE ORGANIZACIÓN"
165,"INGENIERÍA ECONÓMICA"
166,"INGENIERÍA ECONÓMICA"
167,"INGENIERÍA ECONÓMICA"
168,"INGENIERÍA ECONÓMICA"
169,"INGENIERÍA ECONÓMICA"
